attack_id,attack_name,model,f1,n_samples
0,Normal,LSTM-AE,0.0,2091
1,SourceSpike,LSTM-AE,0.0,216
2,CompRamp,LSTM-AE,0.0,249
3,ValveForce,LSTM-AE,0.0,274
4,DemandInject,LSTM-AE,0.0,244
5,PressureSpoof,LSTM-AE,0.0,362
6,FlowSpoof,LSTM-AE,0.7837,239
7,PLCLatency,LSTM-AE,0.0,297
8,PipeLeak,LSTM-AE,0.3937,204
9,FDI_Stealthy,LSTM-AE,0.0,256
10,ReplayAttack,LSTM-AE,0.0,365
0,Normal,GNN,0.0,2091
1,SourceSpike,GNN,0.0,216
2,CompRamp,GNN,0.0,249
3,ValveForce,GNN,0.0,274
4,DemandInject,GNN,0.0,244
5,PressureSpoof,GNN,0.0,362
6,FlowSpoof,GNN,0.0,239
7,PLCLatency,GNN,0.0,297
8,PipeLeak,GNN,0.0,204
9,FDI_Stealthy,GNN,0.0,256
10,ReplayAttack,GNN,0.0,365
0,Normal,Hybrid-IDS,0.0,2091
1,SourceSpike,Hybrid-IDS,0.0,216
2,CompRamp,Hybrid-IDS,0.0,249
3,ValveForce,Hybrid-IDS,0.0,274
4,DemandInject,Hybrid-IDS,0.0,244
5,PressureSpoof,Hybrid-IDS,0.0,362
6,FlowSpoof,Hybrid-IDS,0.0,239
7,PLCLatency,Hybrid-IDS,0.0,297
8,PipeLeak,Hybrid-IDS,0.0,204
9,FDI_Stealthy,Hybrid-IDS,0.0,256
10,ReplayAttack,Hybrid-IDS,0.0,365
